profile_id,composite_score,risk_level,ring_score,cluster_score,burst_score,stake_score,reciprocity_score
21055,39.22,medium,100.0,36.86,0.0,0.0,0.0
25719,39.22,medium,100.0,36.86,0.0,0.0,0.0
1618,39.0,medium,100.0,0.0,0.0,60.0,0.0
9500,39.0,medium,100.0,0.0,0.0,60.0,0.0
4290,39.0,medium,100.0,0.0,0.0,60.0,0.0
5077,39.0,medium,100.0,0.0,0.0,60.0,0.0
5204,39.0,medium,100.0,0.0,0.0,60.0,0.0
3742,39.0,medium,100.0,0.0,0.0,60.0,0.0
20962,39.0,medium,100.0,0.0,0.0,60.0,0.0
5279,39.0,medium,100.0,0.0,0.0,60.0,0.0
4164,39.0,medium,100.0,0.0,0.0,60.0,0.0
3649,39.0,medium,100.0,0.0,0.0,60.0,0.0
4027,39.0,medium,100.0,0.0,0.0,60.0,0.0
4209,39.0,medium,100.0,0.0,0.0,60.0,0.0
5889,39.0,medium,100.0,0.0,0.0,60.0,0.0
2583,39.0,medium,100.0,0.0,0.0,60.0,0.0
4197,39.0,medium,100.0,0.0,0.0,60.0,0.0
10771,39.0,medium,100.0,0.0,0.0,60.0,0.0
3581,39.0,medium,100.0,0.0,0.0,60.0,0.0
3724,39.0,medium,100.0,0.0,0.0,60.0,0.0
3577,39.0,medium,100.0,0.0,0.0,60.0,0.0
4754,39.0,medium,100.0,0.0,0.0,60.0,0.0
4682,39.0,medium,100.0,0.0,0.0,60.0,0.0
1073,39.0,medium,100.0,0.0,0.0,60.0,0.0
19404,38.98,medium,99.2,36.86,0.0,0.0,0.0
8685,38.64,medium,98.8,0.0,0.0,60.0,0.0
982,38.5,medium,100.0,0.0,0.0,30.0,40.0
3973,38.4,medium,78.0,0.0,0.0,100.0,0.0
4373,37.5,medium,100.0,0.0,0.0,50.0,0.0
3148,36.87,medium,75.8,38.53,0.0,30.0,0.0
2049,36.75,medium,100.0,0.0,0.0,45.0,0.0
4851,36.75,medium,100.0,0.0,0.0,45.0,0.0
3476,36.75,medium,100.0,0.0,0.0,45.0,0.0
9083,36.75,medium,100.0,0.0,0.0,45.0,0.0
3611,36.75,medium,100.0,0.0,0.0,45.0,0.0
12780,36.75,medium,100.0,0.0,0.0,45.0,0.0
5507,36.75,medium,100.0,0.0,0.0,45.0,0.0
4094,36.75,medium,100.0,0.0,0.0,45.0,0.0
3655,36.75,medium,100.0,0.0,0.0,45.0,0.0
2528,36.75,medium,100.0,0.0,0.0,45.0,0.0
4476,36.75,medium,100.0,0.0,0.0,45.0,0.0
6235,36.75,medium,100.0,0.0,0.0,45.0,0.0
3598,36.75,medium,100.0,0.0,0.0,45.0,0.0
7346,36.75,medium,100.0,0.0,0.0,45.0,0.0
